True Accuracy,Weighted CI Lower,Weighted CI Upper,Unweighted CI Lower,Unweighted CI Upper
0.8552631735801697,0.8713493943214417,0.8778499960899353,0.8635749816894531,0.8702249526977539
0.7894737124443054,0.8694750070571899,0.8760499954223633,0.8636249899864197,0.8701756596565247
0.7368420958518982,0.8701750040054321,0.8766499757766724,0.8634999990463257,0.870199978351593
0.75,0.8696249723434448,0.8762499690055847,0.8636249899864197,0.8702249526977539
0.8289473652839661,0.8703999519348145,0.8768249750137329,0.8635500073432922,0.870199978351593
0.8815789818763733,0.8689499497413635,0.8755249977111816,0.8635749816894531,0.8702249526977539
0.8552631735801697,0.8707249760627747,0.8772000074386597,0.863599956035614,0.8701756596565247
0.8157894611358643,0.8691499829292297,0.87562495470047,0.8635500073432922,0.870199978351593
0.7368420958518982,0.8706499934196472,0.8771499991416931,0.86347496509552,0.870199978351593
0.8289473652839661,0.8696500062942505,0.8761499524116516,0.8635500073432922,0.8702499866485596
0.8289473652839661,0.8700249791145325,0.8765499591827393,0.863599956035614,0.8702499866485596
0.7763158082962036,0.8694750070571899,0.8759749531745911,0.86347496509552,0.8702499866485596
0.8289473652839661,0.8682493567466736,0.8746999502182007,0.8635249733924866,0.8702249526977539
0.8289473652839661,0.871874988079071,0.8783499598503113,0.8635749816894531,0.8702249526977539
0.8421052694320679,0.869949996471405,0.8764749765396118,0.86347496509552,0.8701750040054321
0.8289473652839661,0.8714249730110168,0.8779256343841553,0.8636493682861328,0.870199978351593
0.7631579041481018,0.8722749948501587,0.8786999583244324,0.8635749816894531,0.8702249526977539
0.8026315569877625,0.8710749745368958,0.8775500059127808,0.8635249733924866,0.8702006340026855
0.8947368264198303,0.8734749555587769,0.8799499869346619,0.8635749816894531,0.8702249526977539
0.8552631735801697,0.8716250061988831,0.8780750036239624,0.8635749816894531,0.8701499700546265
0.7236841917037964,0.8702749609947205,0.8767249584197998,0.8635749816894531,0.8702499866485596
0.8552631735801697,0.8719249963760376,0.8784999847412109,0.8635500073432922,0.8702499866485596
0.8421052694320679,0.8700000047683716,0.8764999508857727,0.8635749816894531,0.8702006340026855
0.7763158082962036,0.8697749972343445,0.8764249682426453,0.86347496509552,0.8702499866485596
0.7763158082962036,0.8715499639511108,0.8781506419181824,0.8635749816894531,0.8702749609947205
0.8947368264198303,0.8714749813079834,0.8778249621391296,0.8635249733924866,0.8702749609947205
0.8289473652839661,0.8714243769645691,0.8778249621391296,0.863599956035614,0.8702249526977539
0.7763158082962036,0.8712499737739563,0.8776499629020691,0.8635249733924866,0.8702999949455261
0.7763158082962036,0.8697493672370911,0.8762999773025513,0.8635743856430054,0.8702249526977539
0.7894737124443054,0.8705244064331055,0.8769499659538269,0.8635249733924866,0.870199978351593
0.7236841917037964,0.8688249588012695,0.875374972820282,0.8634999990463257,0.8702249526977539
0.8289473652839661,0.8696749806404114,0.8761506080627441,0.8636249899864197,0.8702999949455261
0.7368420958518982,0.869949996471405,0.8765499591827393,0.86347496509552,0.8702249526977539
0.7236841917037964,0.8708750009536743,0.8773499727249146,0.8635749816894531,0.8701750040054321
0.8552631735801697,0.8722743988037109,0.8787256479263306,0.8635500073432922,0.870150625705719
0.8552631735801697,0.8702999949455261,0.8767499923706055,0.863599956035614,0.870199978351593
